Name,Party,State,Contact,Website,Ideology_Score,Ideology_Rank,Approval_Rate,End_Date
"Alexander, Lamar ",Republican,TN,202-224-4944,https://www.alexander.senate.gov/public,0.692,55,43%,1/3/21
"Baldwin, Tammy ",Democrat,WI,202-224-5653,https://www.baldwin.senate.gov,0.228,23,49%,1/3/25
"Barrasso, John ",Republican,WY,202-224-6441,https://www.barrasso.senate.gov,0.842,83,62%,1/3/25
"Bennet, Michael ",Democrat,CO,202-224-5852,https://www.bennet.senate.gov/public,0.32,36,39%,1/3/23
"Blackburn, Marsha ",Republican,TN,202-224-3344,https://www.blackburn.senate.gov,1,100,0%,1/3/25
"Blumenthal, Richard ",Democrat,CT,202-224-2823,https://www.blumenthal.senate.gov,0.122,8,46%,1/3/23
"Blunt, Roy ",Republican,MO,202-224-5721,https://www.blunt.senate.gov,0.827,76,39%,1/3/23
"Booker, Cory ",Democrat,NJ,202-224-3224,https://www.booker.senate.gov,0.075,5,47%,1/3/21
"Boozman, John ",Republican,AR,202-224-4843,https://www.boozman.senate.gov/public,0.84,82,47%,1/3/23
"Braun, Mike ",Republican,IN,202-224-4814,https://www.braun.senate.gov,0.915,98,46%,1/3/25
"Brown, Sherrod ",Democrat,OH,202-224-2315,https://www.brown.senate.gov,0.162,13,46%,1/3/25
"Burr, Richard ",Republican,NC,202-224-3154,https://www.burr.senate.gov,0.621,49,40%,1/3/23
"Cantwell, Maria ",Democrat,WA,202-224-3441,https://www.cantwell.senate.gov,0.311,34,47%,1/3/25
"Capito, Shelley ",Republican,WV,202-224-6472,https://www.capito.senate.gov,0.737,64,0%,1/3/21
"Cardin, Benjamin ",Democrat,MD,202-224-4524,https://www.cardin.senate.gov,0.275,28,50%,1/3/25
"Carper, Thomas ",Democrat,DE,202-224-2441,https://www.carper.senate.gov/public,0.339,37,49%,1/3/25
"Casey, Robert ",Democrat,PA,202-224-6324,https://www.casey.senate.gov,0.292,33,46%,1/3/25
"Cassidy, Bill ",Republican,LA,202-224-5824,https://www.cassidy.senate.gov,0.763,70,46%,1/3/21
"Collins, Susan ",Republican,ME,202-224-2523,https://www.collins.senate.gov,0.556,47,53%,1/3/21
"Coons, Chris ",Democrat,DE,202-224-5042,https://www.coons.senate.gov,0.443,42,49%,1/3/21
"Cornyn, John ",Republican,TX,202-224-2934,https://www.cornyn.senate.gov,0.904,93,43%,1/3/21
"Cortez Masto, Catherine ",Democrat,NV,202-224-3542,https://www.cortezmasto.senate.gov,0.276,29,0%,1/3/23
"Cotton, Tom ",Republican,AR,202-224-2353,https://www.cotton.senate.gov,0.905,94,49%,1/3/21
"Cramer, Kevin ",Republican,ND,202-224-2043,https://www.cramer.senate.gov,0.908,95,0%,1/3/25
"Crapo, Michael ",Republican,ID,202-224-6142,https://www.crapo.senate.gov,0.838,80,46%,1/3/23
