State,Senator,url_link_final
Alabama,Richard Shelby,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Richard_Shelby%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/431px-Richard_Shelby%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg
Alabama,Doug Jones,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Senator_Doug_Jones_official_photo_%28cropped_2%29.jpg/443px-Senator_Doug_Jones_official_photo_%28cropped_2%29.jpg
Alaska,Lisa Murkowski,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Lisa_Murkowski_official_photo_%28cropped%29.jpg/444px-Lisa_Murkowski_official_photo_%28cropped%29.jpg
Alaska,Dan Sullivan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Senator_Dan_Sullivan_official_%28cropped%29.jpg/553px-Senator_Dan_Sullivan_official_%28cropped%29.jpg
Arizona,Kyrsten Sinema,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Kyrsten_Sinema_by_Gage_Skidmore_%28cropped%29.jpg/450px-Kyrsten_Sinema_by_Gage_Skidmore_%28cropped%29.jpg
Arizona,Martha McSally,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Sen._Martha_McSally_official_Senate_headshot_116th_congress_%28cropped%29.jpg/480px-Sen._Martha_McSally_official_Senate_headshot_116th_congress_%28cropped%29.jpg
Arkansas,John Boozman,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/John_Boozman%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/439px-John_Boozman%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg
Arkansas,Tom Cotton,https://upload.wikimedia.org/wikipedia/commons/6/66/Tom_Cotton_official_Senate_photo_%28cropped%29.jpg
California,Dianne Feinstein,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Dianne_Feinstein%2C_official_Senate_photo_2_%28cropped%29.jpg/451px-Dianne_Feinstein%2C_official_Senate_photo_2_%28cropped%29.jpg
California,Kamala Harris,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Kamala_Harris_official_photo_%28cropped%29.jpg/565px-Kamala_Harris_official_photo_%28cropped%29.jpg
Colorado,Michael Bennet,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Michael_Bennet_Official_Photo_%28cropped%29.jpg/463px-Michael_Bennet_Official_Photo_%28cropped%29.jpg
Colorado,Cory Gardner,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Cory_Gardner_official_Senate_portrait_%28cropped%29.jpeg/460px-Cory_Gardner_official_Senate_portrait_%28cropped%29.jpeg
Connecticut,Richard Blumenthal,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Richard_Blumenthal_Official_Portrait_%28cropped%29.jpg/595px-Richard_Blumenthal_Official_Portrait_%28cropped%29.jpg
Connecticut,Christopher Murphy,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Chris_Murphy%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/587px-Chris_Murphy%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg
Delaware,Thomas Carper,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Tom_Carper%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/532px-Tom_Carper%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg
Delaware,Chris Coons,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Chris_Coons%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/437px-Chris_Coons%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg
Florida,Marco Rubio,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Senator_Rubio_official_portrait_%28cropped%29.jpg/441px-Senator_Rubio_official_portrait_%28cropped%29.jpg
Florida,Rick Scott,https://upload.wikimedia.org/wikipedia/commons/d/d7/Official_Portrait_of_Senator_Rick_Scott_%28cropped%29.jpg
Georgia,David Perdue,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/David_Perdue%2C_Official_Portrait%2C_114th_Congress_%28cropped%29.jpg/548px-David_Perdue%2C_Official_Portrait%2C_114th_Congress_%28cropped%29.jpg
Georgia,Kelly Loeffler,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Kelly_Loeffler_%28cropped%29.jpg/611px-Kelly_Loeffler_%28cropped%29.jpg
Hawaii,Brian Schatz,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Brian_Schatz%2C_official_portrait%2C_113th_Congress_2_%28cropped%29.jpg/434px-Brian_Schatz%2C_official_portrait%2C_113th_Congress_2_%28cropped%29.jpg
Hawaii,Mazie Hirono,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Mazie_Hirono%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/558px-Mazie_Hirono%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg
Idaho,Michael Crapo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Mike_Crapo_Official_Photo_110th_Congress_%28cropped%29.jpg/561px-Mike_Crapo_Official_Photo_110th_Congress_%28cropped%29.jpg
Idaho,James Risch,https://upload.wikimedia.org/wikipedia/commons/e/e5/Jim_Risch_official_portrait_%28cropped%29.jpg
Illinois,Richard Durbin,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Richard_Durbin_official_photo_%28cropped%29.jpg/549px-Richard_Durbin_official_photo_%28cropped%29.jpg
Illinois,Tammy Duckworth,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Tammy_Duckworth_115th_official_portrait_%28cropped%29.jpg/536px-Tammy_Duckworth_115th_official_portrait_%28cropped%29.jpg
Indiana,Todd Young,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Senator_Todd_Young_official_portrait_%28cropped%29.jpg/450px-Senator_Todd_Young_official_portrait_%28cropped%29.jpg
Indiana,Mike Braun,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Mike_Braun%2C_Official_Portrait%2C_116th_Congress_%28cropped%29.jpg/481px-Mike_Braun%2C_Official_Portrait%2C_116th_Congress_%28cropped%29.jpg
